Date,Close/Last,Volume,Open,High,Low
07/18/2022,1710.20,144409,1706.40,1722.00,1704.40
07/15/2022,1703.60,172240,1708.20,1714.20,1696.60
07/14/2022,1705.80,242301,1733.60,1734.80,1695.00
07/13/2022,1735.50,269477,1723.60,1744.30,1704.50
07/12/2022,1724.80,230448,1731.30,1742.20,1721.60
07/11/2022,1731.70,151802,1741.50,1743.00,1729.00
07/08/2022,1742.30,166939,1738.70,1751.70,1726.00
07/07/2022,1739.70,143028,1737.20,1748.20,1734.70
07/06/2022,1736.50,249079,1764.20,1771.50,1730.70
07/05/2022,1763.90,293094,1814.40,1815.20,1763.00
07/01/2022,1801.50,238651,1808.10,1813.60,1783.40
06/30/2022,1807.30,196788,1819.20,1826.80,1802.50
06/29/2022,1817.50,147761,1821.40,1834.90,1810.70
06/28/2022,1821.20,103812,1823.60,1830.90,1819.10
06/27/2022,1824.80,135496,1839.60,1842.80,1821.80
